ID,Title_Romaji,Title_English,Title_Native,Type,Format,Genres,Episodes,Season,Season_Year,Start,End,Source,Country,Studios,Authors_Staff,Status,Average_Score,Mean_Score,Popularity,Favourites
20931,Death Parade,Death Parade,デス・パレード,ANIME,TV,"Drama, Mystery, Psychological, Supernatural, Thriller",12.0,WINTER,2015.0,2015-1-10,2015-3-28,ORIGINAL,JP,MADHOUSE,"NoisyCell (Theme Song Performance (ED)), BRADIO (Theme Song Performance (OP)), BRADIO (Theme Song Composition (OP)), BRADIO (Theme Song Arrangement (OP)), NoisyCell (Theme Song Arrangement (ED))",FINISHED,80.0,80.0,400645,12032
9919,Ao no Exorcist,Blue Exorcist,青の祓魔師,ANIME,TV,"Action, Fantasy, Supernatural",25.0,SPRING,2011.0,2011-4-17,2011-10-2,MANGA,JP,A-1 Pictures,"Meisa Kuroki (Theme Song Performance (ED2)), Tensai Okamura (Director), Ryouta Yamaguchi (Series Composition), UVERworld (Theme Song Performance (OP1)), Takuya Shimizu (Theme Song Lyrics (1st OPENING))",FINISHED,72.0,72.0,400613,6452
269,BLEACH,Bleach,BLEACH,ANIME,TV,"Action, Adventure, Supernatural",366.0,FALL,2004.0,2004-10-5,2012-3-27,MANGA,JP,Studio Pierrot,"Wendee Lee (ADR Director (English)), Kirk Thornton (ADR Director (English)), Mary Elizabeth McGlynn (ADR Director (English)), Tite Kubo (Original Creator), Michiko Yokote (Script)",FINISHED,78.0,78.0,400014,22443
30,Shin Seiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,ANIME,TV,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",26.0,FALL,1995.0,1995-10-3,1996-3-27,ORIGINAL,JP,"Gainax, Tatsunoko Production","Tiffany Grant (Dialogue Editing (English)), Amanda Winn Lee (ADR Director (English; ADV)), Tensai Okamura (Storyboard (eps 13, 18)), Yoshiyuki Sadamoto (Character Design), Junichi Satou (Storyboard (eps 4, 5, 15, 21))",FINISHED,83.0,83.0,397764,32055
199,Sen to Chihiro no Kamikakushi,Spirited Away,千と千尋の神隠し,ANIME,MOVIE,"Adventure, Drama, Fantasy, Supernatural",1.0,SUMMER,2001.0,2001-7-20,2001-7-20,ORIGINAL,JP,Studio Ghibli,"Hayao Miyazaki (Director), Joe Hisaishi (Music), Toshio Suzuki (Producer), Masayuki Miyaji (Assistant Director), Kitarou Kousaka (Animation Director)",FINISHED,86.0,86.0,397729,16755
14719,JoJo no Kimyou na Bouken (TV),JoJo's Bizarre Adventure (TV),ジョジョの奇妙な冒険 (TV),ANIME,TV,"Action, Adventure, Supernatural",26.0,FALL,2012.0,2012-10-6,2013-4-6,MANGA,JP,David Production,"Hirohiko Araki (Original Creator), Kou Ootani (Theme Song Arrangement (OP1)), Taku Iwasaki (Music (eps 10-26)), Toshiyuki Oomori (Theme Song Arrangement (OP2, ED: ep 26)), Toshiyuki Oomori (Theme Song Composition (OP2, ED: ep 26))",FINISHED,77.0,77.0,393028,14131
97668,One Punch Man 2,One-Punch Man Season 2,ワンパンマン 2,ANIME,TV,"Action, Comedy, Sci-Fi, Supernatural",12.0,SPRING,2019.0,2019-4-10,2019-7-3,MANGA,JP,J.C.STAFF,"Yuusuke Murata (Original Character Design), ONE (Original Story), Chikara Sakurai (Director), Tomohiro Suzuki (Series Composition), Chikashi Kubota (Character Design)",FINISHED,74.0,74.0,389800,6260
98314,Kakegurui,Kakegurui,賭ケグルイ,ANIME,TV,"Drama, Mystery, Psychological",12.0,SUMMER,2017.0,2017-7-1,2017-9-23,MANGA,JP,MAPPA,"Homura Kawamoto (Original Story), Tooru Naomura (Original Character Design), Yuuichirou Hayashi (Director), Tia (Theme Song Performance (OP)), Teo Bellia (ADR Director (Italian))",FINISHED,70.0,70.0,389624,6522
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,ANIME,TV,"Action, Adventure, Drama, Sci-Fi",26.0,SPRING,1998.0,1998-4-3,1999-4-24,ORIGINAL,JP,Sunrise,"Mary Elizabeth McGlynn (ADR Director (English)), Youko Kanno (Theme Song Arrangement (OP, ED1-ED3)), Youko Kanno (Music), Youko Kanno (Theme Song Composition (OP, ED1-ED3)), Shinichirou Watanabe (Script (eps 17, 21))",FINISHED,86.0,86.0,389474,25292
105310,Enen no Shouboutai,Fire Force,炎炎ノ消防隊,ANIME,TV,"Action, Drama, Sci-Fi, Supernatural",24.0,SUMMER,2019.0,2019-7-6,2019-12-28,MANGA,JP,David Production,"Atsushi Ookubo (Original Creator), Yuuki Yase (Director), Hideyuki Morioka (Character Design), Gakuto Haishima (Series Composition), Yoshio Kozakai (Chief Animation Director)",FINISHED,76.0,76.0,386578,10034
